CS,IO1,IO2,SCLK,IO3,IO0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,1,0,1
0,0,1,1,0,1
0,0,1,1,0,1
0,0,1,1,0,1
0,0,1,1,0,1
0,0,1,1,0,1
0,0,1,1,0,1
0,0,1,1,0,1
0,0,1,1,0,1
0,0,1,1,0,1
0,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,1,1,0,1
